msoa11cd,covid19,p80up,pblack50up,pasian50up,incomescore19,higheredu,pcarehm,pm251418,so21418,nox,countDays,allpop,la,utla,p5064,p6579,morbidity,pindian,ppakbang,pblack,pchinese,so21418,nox,pcareservice,psale_cust,pprocess_plant,pelementary,pbus,ptrain,ptube,personkm2
"E02000019",5,2.197201,7.966012,2.867764,.1964073,.879276,.459159,12.378,1.946,38.269,39,9148,"E09000002","E09000002",16.32051,7.006996,121.2799,1.848719,4.531175,22.0638,.7249879,1.946,38.269,10.65312,9.81132,11.17562,15.76197,6.121363,5.695529,15.38325,3011.474
"E02000020",2,2.381867,9.85782,11.89573,.1953922,.8804185,.021561,12.231,2.094,38.814,39,13015,"E09000002","E09000002",13.83788,5.347676,134.8181,6.037085,13.00129,21.71194,.9271238,2.094,38.814,10.1616,10.10682,9.230348,16.29691,6.896003,7.580825,15.03424,3806.449
"E02000021",6,2.820513,12.02499,4.580947,.1819228,.8899272,1.328441,12.318,2.513,42.578,39,8970,"E09000002","E09000002",16.08696,7.001115,124.8081,3.112348,3.884109,28.07439,.3922065,2.513,42.578,10.78402,9.312106,9.79273,15.68038,8.151167,6.280104,12.52316,3114.269
"E02000022",3,.8259516,18.64717,11.51737,.2568749,.8779464,.136721,13.546,1.75,52.711,39,8354,"E09000002","E09000002",11.33589,3.351688,137.1129,3.554745,9.240059,35.87786,1.36721,1.75,52.711,11.33267,9.770688,9.23895,21.90096,8.072779,7.754814,16.23388,11157.37
"E02000023",2,1.540388,15.2657,7.149758,.2326966,.8754072,0,13.067,1.891,47.269,39,7985,"E09000002","E09000002",12.63619,3.619286,132.1618,1.928417,7.451404,36.05369,.3394014,1.891,47.269,12.90992,10.08717,9.755085,17.93275,9.013485,7.641353,12.53844,4574.889
"E02000024",6,6.19767,1.009564,6.163656,.0642414,.8300578,1.250492,10.695,1.029,27.409,45,10988,"E09000003","E09000003",22.15144,13.71496,84.33818,3.751477,.9058685,2.382828,1.289878,1.029,27.409,7.159221,5.383734,3.169148,4.696449,3.969986,3.015007,18.44475,2927.297
"E02000025",12,4.756834,2.009098,7.202426,.1120399,.8420306,.3393665,10.505,1.016,25.572,45,8451,"E09000003","E09000003",21.66607,11.66726,95.68566,3.783308,1.093514,4.650578,1.571141,1.016,25.572,8.557457,6.088019,3.96088,5.794621,5.951383,8.734283,10.98072,3518.435
"E02000026",2,5.50611,2.016129,11.06631,.0790335,.8544853,.1584033,10.808,1.086,28.641,45,6629,"E09000003","E09000003",21.36069,13.35043,84.17096,4.752099,.9345794,3.785839,1.219705,1.086,28.641,8.426229,5.573771,4.098361,5.47541,4.09586,5.446623,12.46187,4522.609
"E02000027",9,4.121809,3.986486,10.77703,.1573553,.859108,.9689519,10.8,1.056,27.202,45,9753,"E09000003","E09000003",20.38347,12.16036,106.4777,4.219629,1.448218,9.439466,1.667014,1.056,27.202,10.6039,8.93961,5.587256,8.963386,7.150168,2.310279,11.84384,5825.27
"E02000028",2,5.079934,1.992225,9.766764,.1007541,.8171897,.9568602,11.045,1.121,30.717,45,6693,"E09000003","E09000003",20.21515,11.20574,86.84699,6.179046,1.508271,4.816737,1.719105,1.121,30.717,6.93408,5.379353,3.047264,5.192786,5.088106,10.24229,10.63877,6340.335
"E02000029",7,3.208271,2.721365,9.545085,.1240921,.8583512,.1174122,11.011,1.181,32.445,45,9382,"E09000003","E09000003",19.2816,9.806011,102.0089,4.332511,.8688505,5.870612,1.573324,1.181,32.445,9.254865,5.64784,4.864737,6.288562,5.861514,11.0306,8.599033,5569.522
