"msoa11cd","covid19","p80up","pblack50up","pasian50up","incomescore19","higheredu","pcarehm","pm251418","so21418","nox","countDays","allpop","la","utla","p5064","p6579","morbidity","pindian","ppakbang","pblack","pchinese","so21418.1","nox.1","pcareservice","psale_cust","pprocess_plant","pelementary","pbus","ptrain","ptube","personkm2","meanUVAJAN01APR17","meanUVAJAN01APR17_100","Meantempwinter"
"E02005774",2,6.782184,0.3075031,1.260763,0.0884066,0.9055215,1.430096,7.996,1.596,15.211,39,9407,"E07000165","E10000023",21.95174,13.41554,118.7991,0.9391676,0.1387407,0.6083245,0.6403415,1.596,15.211,11.55556,9.69697,5.818182,12.82828,5.893734,2.247358,0.1190653,4227.734,392.8937143,3.928937143,3.84371693929036
"E02005775",2,5.671367,0.3992016,1.530273,0.0737845,0.8747183,2.767309,7.328,1.303,16.107,39,9786,"E07000165","E10000023",21.68404,12.0376,107.6467,0.5922257,0.1722838,1.819748,2.056638,1.303,16.107,8.991876,6.997784,2.935746,10.85672,4.30602,3.428094,0.2369008,4582.819,392.2082743,3.922082743,3.65958372751872
"E02005776",4,4.816017,0.0886787,0.2660361,0.0392543,0.8903817,1.094326,8.175,1.243,11.864,39,9240,"E07000165","E10000023",24.49134,15.24892,96.06364,0.1784227,0.0237897,0.237897,2.081599,1.243,11.864,7.53376,5.804312,4.122246,7.746979,0.6220331,1.440498,0.0982157,54.54678,400.0773486,4.000773486,3.99036151887867
"E02005777",11,8.113853,0.2217295,0.5266075,0.0452088,0.8466555,1.594802,7.698,1.448,14.741,39,8467,"E07000165","E10000023",23.3731,16.32219,100.8099,0.271707,0.1535735,0.5906674,0.236267,1.448,14.741,8.667135,8.175217,3.443429,6.910284,1.928608,2.453054,0.0676704,1525.571,398.8415314,3.988415314,3.79349569479624
"E02005778",1,6.1128,0.1123596,0.3745318,0.0367895,0.8507407,0,6.73,1.113,9.756,39,5922,"E07000165","E10000023",28.68963,19.33468,98.08684,0.194521,0.0486302,0.7456638,0.0810504,1.113,9.756,6.431664,4.390847,3.153989,6.98825,1.184622,1.721055,0.1341082,29.14794,400.9804114,4.009804114,3.41424572008539
"E02005779",2,9.665283,0.6892025,0.4594683,0.0442411,0.8291834,2.334784,7.648,1.397,18.508,39,7708,"E07000165","E10000023",23.2356,15.99637,96.08274,0.4352988,0.0263817,1.556523,0.4221079,1.397,18.508,6.19974,6.796368,2.204929,6.614786,2.985355,3.266992,0.1877582,3702.608,392.5509943,3.925509943,3.58807150522868
"E02005780",2,9.067116,0.1785316,0.6025441,0.0344092,0.8382927,2.037159,7.243,1.235,16.756,39,10698,"E07000165","E10000023",23.06038,16.70406,91.49388,0.3678204,0.1414694,0.5375837,0.7450721,1.235,16.756,7.5129,6.996904,2.55934,6.047472,2.066751,2.443793,0.1256808,1545.812,400.0981029,4.000981029,3.57480683780852
"E02005781",8,8.170607,0.1143293,0.3810976,0.0282036,0.8198996,1.08022,7.464,1.236,11.844,39,5838,"E07000165","E10000023",25.38541,19.8013,94.36951,0.2479192,0.1770852,0.2479192,0.2479192,1.236,11.844,5.711168,5.529284,1.818843,5.383776,1.280763,3.289804,0.2260171,98.52999,404.7070629,4.047070629,3.86963610938101
"E02005782",3,6.887956,0.0534759,0.1336898,0.051587,0.8400525,0.7785695,7.009,0.919,8.424,39,7622,"E07000166","E10000023",30.07085,20.99187,86.5563,0.0527844,0.0791766,0.2111375,0.0131961,0.919,8.424,6.996936,4.239019,5.030643,9.218591,0.687952,0.9878286,0.088199,32.53902,387.2894875,3.872894875,3.45762084752826
"E02005783",0,7.479986,0.0794702,0.3178808,0.0845116,0.8685679,0.939023,6.357,0.953,8.12,39,8369,"E07000166","E10000023",25.85733,19.42884,95.1352,0.1901819,0.13075,0.1664091,0.3209319,0.953,8.12,8.939243,7.270916,5.453187,12.84861,2.203223,0.5425847,0.0986518,820.9268,385.0093029,3.850093029,3.05561583042145
"E02005784",4,5.975966,0,0.4207574,0.056609,0.8957039,1.300369,7.311,1.059,9.775,39,6158,"E07000166","E10000023",22.34492,15.08607,90.75347,0.2889709,0.0160539,1.123776,0.0321079,1.059,9.775,7.112254,6.141102,5.712654,8.226221,0.7670999,0.7884083,0.063925,142.2198,385.8289371,3.858289371,3.79269237934597
"E02005785",1,1.756405,0.1361161,3.901996,0.058637,0.9345497,0.7722513,6.588,0.946,8.454,39,16511,"E07000166","E10000023",11.85876,5.565986,103.2626,0.1832461,0.1112565,2.231675,0.2094241,0.946,8.454,7.090546,5.18198,4.804705,10.8522,2.273125,2.421752,0.0437139,688.8522,388.2807771,3.882807771,3.27082472377353
"E02005786",1,7.110666,0.064,0.288,0.0465592,0.8765329,0,5.767,0.745,5.798,39,5991,"E07000166","E10000023",29.64447,23.90252,82.43887,0.0327065,0.0490597,0.4742437,0.0327065,0.745,5.798,7.551693,3.566077,5.543902,10.93797,0.8151008,0.3217503,0.1287001,8.000282,381.6418743,3.816418743,2.02126566361828
"E02005787",0,7.040615,0.1241003,0.1241003,0.0540054,0.8736768,0.3712575,6.366,0.897,6.775,39,8593,"E07000166","E10000023",26.69615,21.97137,88.18446,0.0838323,0.1077844,0.3113773,0.1676647,0.897,6.775,9.425939,5.50437,5.858729,11.52847,0.556647,0.540275,0.0818599,33.29093,392.7869074,3.927869074,2.95328823584584
"E02005788",3,6.95451,0,0.1881468,0.0750792,0.8847509,0,6.843,1.016,7.037,39,6485,"E07000167","E10000023",25.90594,23.0532,99.03796,0.0468823,0,0.1719019,0.0625098,1.016,7.037,7.721163,5.157862,6.345733,12.41013,0.772698,0.4722043,0.0214638,22.00803,395.0333849,3.950333849,2.86685490826697
"E02005789",0,8.948107,0.0195046,0.1560367,0.0840447,0.8911691,1.150109,7.34,1.148,7.658,39,10695,"E07000167","E10000023",24.56288,23.10425,90.5929,0.0495737,0.0198295,0.0495737,0.2082094,1.148,7.658,9.271804,6.879763,8.128704,12.21422,1.141425,0.4454343,0.0974388,50.6116,393.7665413,3.937665413,3.36744508020121
