msoa,meanUVAJAN01APR17
E02000268,404.3371886
E02000269,404.3371886
E02000270,408.2000914
E02000271,412.0629943
E02000272,402.44256
E02000274,414.5365029
E02000275,407.5422171
E02000276,404.3371886
E02000277,421.1152457
E02000278,421.1152457
E02000279,420.1148571
E02000280,420.4078629
E02000281,420.8398629
E02000282,423.3813943
E02000283,423.3813943
E02000284,421.8352457
E02000285,421.8352457
E02000286,420.2890971
E02000287,419.0605714
E02000288,423.3813943
E02000289,420.2890971
E02000290,421.6826057
E02000291,421.8352457
E02000292,423.3813943
E02000293,420.2890971
E02000294,421.6826057
E02000295,419.6748343
E02000296,419.6748343
E02000297,421.8352457
E02000298,420.2890971
E02000299,423.3813943
E02000300,423.3813943
E02000301,423.1693029
E02000302,421.9344
E02000303,423.7132114
E02000304,421.3333029
E02000305,421.9344
E02000306,425.4920229
E02000307,423.7132114
E02000308,422.9917714
E02000309,427.6026514
E02000311,423.5797029
E02000312,422.9917714
E02000313,407.2138971
E02000314,407.2138971
E02000315,407.2138971
E02000316,411.0043886
E02000317,414.79488
E02000318,407.2138971
E02000319,407.2138971
E02000320,407.2138971
E02000321,411.0043886
E02000323,411.0043886
E02000324,414.79488
E02000326,414.8282057
E02000327,412.1658514
E02000328,411.7832229
E02000329,411.5808
E02000331,411.9745371
E02000332,412.38432
E02000333,411.0344229
E02000334,409.5368229
E02000335,413.7642514
E02000337,409.5368229
E02000339,409.5368229
E02000340,409.5368229
E02000341,409.1208686
E02000342,413.7642514
E02000343,415.8111086
E02000344,416.5379657
E02000345,422.71776
E02000346,419.8468114
E02000347,421.0894629
E02000348,419.8443429
E02000350,423.5747657
E02000351,416.11392
E02000352,416.11392
E02000353,419.8443429
E02000354,423.5747657
E02000355,423.5747657
E02000356,416.11392
E02000357,421.68384
E02000358,419.8443429
E02000359,423.5747657
E02000360,419.8443429
E02000361,423.5747657
E02000362,421.68384
E02000363,423.5747657
E02000364,419.8443429
E02000365,419.8443429
E02000366,423.5747657
E02000367,423.5747657
E02000368,423.5747657
E02000369,419.8443429
E02000370,416.11392
E02000371,420.0016457
E02000372,413.2736914
E02000373,412.0629943
E02000374,412.0629943
E02000375,414.0386743
E02000376,414.0386743
E02000377,412.0629943
E02000378,414.0386743
E02000379,412.0629943
E02000380,412.0629943
E02000381,414.0386743
E02000382,412.0629943
E02000383,416.0143543
E02000384,414.0386743
E02000385,416.0143543
E02000386,416.0143543
E02000387,416.0143543
E02000388,416.0143543
E02000389,417.4077257
E02000390,416.0143543
E02000391,420.0800914
E02000392,420.0800914
E02000393,420.0800914
E02000394,420.0800914
E02000395,420.0800914
E02000396,424.1458286
E02000397,422.9917714
E02000398,427.6026514
E02000400,422.9917714
E02000401,423.5797029
E02000402,425.5911771
E02000403,423.5797029
E02000404,423.5797029
E02000405,422.9917714
E02000406,423.5797029
E02000407,425.5911771
E02000408,427.6026514
E02000409,423.5797029
E02000410,422.40384
E02000411,427.6026514
E02000412,423.5797029
E02000413,422.40384
E02000414,425.5911771
E02000415,423.5797029
E02000416,422.9917714
E02000417,422.40384
E02000418,422.9917714
E02000419,423.5797029
E02000420,425.5911771
E02000421,425.5911771
E02000422,423.5797029
E02000423,423.5797029
E02000424,423.5797029
E02000425,425.5911771
E02000426,417.0178286
E02000427,419.8468114
E02000428,419.8468114
E02000429,418.43232
E02000430,418.43232
E02000431,417.0178286
E02000432,419.8468114
E02000433,421.5114514
E02000434,418.0122514
E02000435,414.75456
E02000436,419.8532571
E02000437,411.4968686
E02000438,416.87712
E02000439,420.54048
E02000440,414.75456
E02000441,422.2573714
E02000442,420.54048
E02000443,411.4968686
E02000444,418.0122514
E02000445,414.75456
E02000447,411.4968686
E02000448,416.87712
E02000449,418.0122514
E02000451,416.87712
E02000452,411.4968686
E02000453,411.4968686
E02000454,417.8578286
E02000455,418.6145829
E02000456,418.9157486
E02000457,419.9770286
E02000459,418.9157486
E02000460,423.0769371
E02000461,415.6330971
E02000462,426.3346286
E02000463,423.0769371
E02000464,425.5745143
E02000465,420.31296
E02000466,425.1894857
E02000467,420.31296
E02000468,426.9591771
E02000469,416.8067657
E02000470,423.8191543
E02000471,421.8829714
E02000472,421.8829714
E02000473,422.6076343
E02000474,421.8829714
E02000475,417.9682286
E02000476,420.7332343
E02000477,417.9682286
E02000478,421.7381486
E02000479,417.9682286
E02000480,420.7332343
E02000481,428.1021257
E02000482,425.5080686
E02000483,423.1633371
E02000484,419.1296914
E02000485,427.1969829
E02000486,419.1296914
E02000487,427.1969829
E02000488,423.1633371
E02000489,419.5834971
E02000490,419.1296914
E02000491,417.4033371
E02000492,418.33728
E02000493,418.33728
E02000494,427.3878857
E02000495,424.8226286
E02000496,422.2154057
E02000497,424.8226286
E02000498,419.4390857
E02000499,421.0383086
E02000500,420.2386971
E02000501,421.0383086
E02000502,415.6547657
E02000503,419.8192457
E02000504,419.4390857
E02000506,411.4902857
E02000507,415.6547657
E02000508,411.0430629
E02000509,410.59584
E02000510,410.3000229
E02000511,413.7389486
E02000512,410.3000229
E02000513,417.1778743
E02000514,413.7389486
E02000515,408.9612343
E02000516,417.1778743
E02000517,411.7121829
E02000518,410.3000229
E02000519,414.5365029
E02000520,411.8231314
E02000521,409.10976
E02000522,406.8794057
E02000523,411.8231314
E02000524,414.7773257
E02000525,414.2402743
E02000526,412.0629943
E02000528,404.3371886
E02000529,407.5422171
E02000530,414.5365029
E02000531,409.0266514
E02000532,414.1361829
E02000533,410.8698514
E02000534,410.21376
E02000535,416.8055314
E02000536,414.9787886
E02000537,413.1520457
E02000538,416.8055314
E02000539,413.2090286
E02000540,413.1520457
E02000541,416.8055314
E02000542,419.7890743
E02000543,413.1520457
E02000544,425.75616
E02000545,423.9754971
E02000546,422.41536
E02000547,421.0428343
E02000548,423.0111086
E02000549,419.07456
E02000550,421.0428343
E02000551,422.41536
E02000552,421.0428343
E02000553,423.2612571
E02000554,417.10848
E02000555,413.8728686
E02000556,413.8728686
E02000557,411.6318171
E02000558,416.11392
E02000559,416.11392
E02000560,416.11392
E02000561,413.8728686
E02000562,416.11392
E02000563,413.8728686
E02000564,416.11392
E02000565,416.11392
E02000566,416.11392
E02000567,416.11392
E02000568,413.8728686
E02000569,416.11392
E02000570,416.11392
E02000571,416.11392
E02000572,416.11392
E02000573,416.11392
E02000574,416.11392
E02000575,418.2150857
E02000576,418.2150857
E02000577,414.5680457
E02000578,413.9417829
E02000579,414.0386743
E02000580,416.0143543
E02000581,416.0143543
E02000582,416.0143543
E02000583,416.0143543
E02000584,416.0143543
E02000585,416.0143543
E02000586,416.0143543
E02000587,416.0143543
E02000588,416.1994971
E02000589,416.0143543
E02000590,416.1069257
E02000591,416.0143543
E02000592,416.1069257
E02000593,416.0143543
E02000594,416.1994971
E02000595,416.1069257
E02000596,416.0143543
E02000597,416.1069257
E02000598,422.7432686
E02000599,421.8375086
E02000600,424.4729143
E02000601,423.2917029
E02000602,423.2917029
E02000603,424.4729143
E02000604,425.6541257
E02000605,424.4729143
E02000606,423.2917029
E02000607,423.2917029
E02000608,423.2917029
E02000609,425.6541257
E02000610,423.2917029
E02000611,424.4729143
E02000612,425.6541257
E02000613,422.5585371
E02000614,421.8874971
E02000615,422.5585371
E02000616,421.8253714
E02000617,421.8253714
E02000619,420.3162514
E02000620,418.2578743
E02000621,418.8619886
E02000622,418.3706057
E02000623,418.2527314
E02000624,418.3706057
E02000625,417.5648914
E02000626,416.42496
E02000627,418.2475886
E02000628,416.42496
E02000629,418.2475886
E02000630,420.0702171
E02000631,416.42496
E02000632,418.2475886
E02000633,416.42496
E02000634,420.0702171
E02000635,416.42496
E02000636,420.0702171
E02000637,418.2475886
E02000638,418.2475886
E02000639,418.2475886
E02000640,420.0702171
E02000641,416.42496
E02000642,416.42496
E02000643,418.2475886
E02000644,416.42496
E02000645,416.42496
E02000646,418.2475886
E02000647,417.4218514
E02000648,417.4218514
E02000649,416.4338057
E02000650,417.4218514
E02000651,414.6200229
E02000652,410.8213029
E02000653,421.4962286
E02000654,418.17888
E02000655,420.8218971
E02000657,416.7829029
E02000658,420.8218971
E02000659,408.7049143
E02000660,414.42624
E02000661,408.7049143
E02000662,420.1475657
E02000663,414.42624
E02000664,408.7049143
E02000665,408.7049143
E02000666,414.42624
E02000667,420.1475657
E02000668,408.7049143
E02000669,408.7049143
E02000670,408.7049143
E02000671,420.1475657
E02000672,414.42624
E02000673,420.1475657
E02000674,408.7049143
E02000675,409.1208686
E02000676,420.1475657
E02000677,408.7049143
E02000678,408.7049143
E02000679,420.1475657
E02000680,420.1475657
E02000681,414.42624
E02000682,408.7049143
E02000683,413.4423771
E02000685,422.0220343
E02000686,421.2606857
E02000687,424.8205714
E02000689,422.80704
E02000690,421.8693943
E02000691,422.80704
E02000692,422.80704
E02000693,418.8117943
E02000694,421.4682514
E02000695,410.8213029
E02000696,416.1447771
E02000697,421.4682514
E02000698,423.5611886
E02000699,421.4682514
E02000700,416.1447771
E02000701,410.8213029
E02000702,410.8213029
E02000703,421.4682514
E02000704,423.5611886
E02000705,410.8213029
E02000706,416.1447771
E02000707,414.6200229
E02000708,423.5611886
E02000709,423.5611886
E02000710,416.1447771
E02000711,421.4682514
E02000712,421.4682514
E02000713,423.5611886
E02000714,416.0633143
E02000715,412.3337143
E02000716,412.3337143
E02000717,412.3337143
E02000718,412.3337143
E02000719,419.7929143
E02000720,412.3337143
E02000721,416.0633143
E02000722,419.7929143
E02000723,412.3337143
E02000724,412.3337143
E02000725,419.7929143
E02000726,419.7929143
E02000727,412.3337143
E02000728,412.3337143
E02000729,416.0633143
E02000730,416.0633143
E02000731,412.3337143
E02000732,412.3337143
E02000733,419.7929143
E02000734,416.0633143
E02000735,416.0633143
E02000736,411.7415314
E02000737,413.5642971
E02000738,413.5642971
E02000739,415.6405029
E02000740,417.3272229
E02000741,413.5642971
E02000742,413.5642971
E02000743,415.44576
E02000744,414.8282057
E02000745,414.79488
E02000746,410.6096229
E02000747,414.8282057
E02000748,414.79488
E02000749,414.8282057
E02000750,414.79488
E02000751,423.5581029
E02000752,428.8464
E02000753,430.7336229
E02000754,429.5511771
E02000755,429.5511771
E02000756,430.7336229
E02000757,425.6302629
E02000758,429.5511771
