"PRO_COM","meanwintertemp"
1276,13965.3333333333
1253,13960.3333333333
1254,14007.6666666667
1310,13913
1311,13909.3333333333
1312,13988.3333333333
1089,13589
1006,14032.6666666667
1007,13701.3333333333
1039,13958
1083,13980
1062,14034
1082,13979
1008,14019.6666666667
1009,14018.3333333333
1020,14002.3333333333
1043,13988.6666666667
1027,13973.6666666667
1064,13949
1066,14012.0167964661
1084,13978
1021,13983.6666666667
1023,13994.3333333333
1024,14005.3333333333
1026,13422.1111111111
1029,14018.3333333333
1085,14000.6666666667
1086,13995
1087,13322
1022,13396.7648054146
1011,13707
1012,14007.6666666667
1117,13582.3333333333
1204,13736.3333333333
1205,13938.3333333333
1139,13951.6666666667
1163,14006.6666666667
1164,13979
1118,13337.1666666667
1206,14016
1207,13974.3333333333
1132,14012
1133,14019.3333333333
1142,13953.6666666667
1165,13356.6666666667
1166,14003.6666666667
1167,14012.6666666667
1183,14024.3333333333
1184,13852.6666666667
1208,14002.6666666667
1209,13894
1210,13587.3333333333
1211,13993.6666666667
1134,13541.1729559748
1178,13903
1179,13989.3333333333
1185,13962.6666666667
1186,13665.9118589744
1212,13700.3333333333
1152,13711.6666666667
1153,14016
1180,14012
1181,13970.6666666667
1213,13991.6666666667
1154,13807.3333333333
1155,13852.6666666667
1097,13976.3405136298
1191,14014.2222222222
1187,14004
1188,13901.3333333333
1119,14029.6666666667
1120,14035.6666666667
1160,14005
1161,13971
1162,13947.3333333333
1098,13978
1189,14017
1190,13886.6666666667
1121,13761.3333333333
1122,13788.6666666667
1123,13936.6666666667
1099,13993.3333333333
1100,13473.5
1192,14014.6666666667
1195,13967.6666666667
1124,13987.3333333333
1156,13996.3333333333
1157,13603.6666666667
1158,14014.3333333333
1159,13987.3333333333
1101,13990
1102,13984
1196,13953
1197,13937.6666666667
1198,13807
1125,13980.6666666667
1126,14003
1145,13453.3333333333
1146,14021
1103,13487.3333333333
1104,14002.3333333333
1105,14004.6666666667
1127,13956.6666666667
1128,13959
1147,13496
1233,13990
1234,13506.6666666667
1235,13985
1242,13876.3333333333
1243,13995.3333333333
1250,13953.3333333333
1283,13783
1266,13880.6666666667
1267,13753
1264,13931.6666666667
1273,13972
1274,13997.3333333333
1284,13956
1285,13969.6666666667
1299,13920
1309,13961.3333333333
1224,13491.8288804071
1315,13964
1268,14008.6666666667
1245,13695.6666666667
1230,13973
1288,13486.6111111111
1289,13833
1291,13625.3333333333
1095,13954.6666666667
1096,13999.6666666667
1214,14022.3333333333
1033,13977.3333333333
1034,13989.3333333333
1036,13942
1061,14005.3333333333
1071,13936
1072,13800
1010,13931.6666666667
1019,13250.3333333333
1035,14023
1073,13197.6754368148
1075,13603.3333333333
1001,13986
1057,13939.6666666667
1070,13967
1065,13930.3333333333
1088,13894.6666666667
1090,14017
1025,13956.6666666667
1030,14014.3333333333
1044,13855.6666666667
1045,13966.3333333333
1046,13986
1047,13985
