"codcom","marapr1519deaths","marapr20deaths","meanwintertemp","deathsdiffnegativetozero","Provincia","meanUVAJAN01APR30","z_percfore","z_perc65","z_perc85","z_densityinhabitants","z_deprivationn","z_superficietotalekm2","logpop","z_totale_casi","z_pm2point52016"
"78147",2.4,4,14303.6666666667,1.6,"Cosenza",751.4068881,1.24159377903335,0.885881659369811,-0.158415083466977,-0.393923907680854,1.04696305331881,-0.332102325788652,6.92657703322272,-0.646687703067341,-0.497200360471575
"78148",8.4,9,14243,0.6,"Cosenza",766.2208271,-0.775149835973125,-0.682477253987246,-0.0726375139521633,-0.241363106620015,0.708119663114217,-0.134405024388346,8.42792472365806,-0.646687703067341,-0.62490953226492
"78150",16.2,18,14285.3333333333,1.8,"Cosenza",772.4218576,-0.225128850062268,-0.159690949534894,0.0248922232118603,0.0247355430101897,0.730089558738456,-0.202913990220135,9.07497873404551,-0.646687703067341,-0.501295614774818
"78152",2.8,2,14162,0,"Cosenza",775.4083322,0.324892135848589,0.885881659369811,-0.15004276854395,-0.260412369253716,0.635872506349896,-0.558964872643062,7.07665381544395,-0.646687703067341,-0.596031554135536
"78153",6,9,14151.3333333333,3,"Cosenza",754.6348068,0.508232464485542,1.40866796382216,-0.110611153405155,-0.321545802399581,3.56420609426517,-0.0870359680132227,8.07464907506665,-0.646687703067341,-0.668742314480346
"78154",11.8,14,14290,2.2,"Cosenza",769.1879593,-0.40846917869922,-0.682477253987246,-0.0540814597692007,-0.273066414042213,0.741919502536122,0.0517436227717446,8.55275336681479,-0.646687703067341,-0.514988426044619
"78155",3.2,3,14236,0,"Cosenza",766.9321627,-2.05853213643179,-1.2052635584396,-0.116443056148371,-0.00799827344867703,0.656574907995813,-0.567773168250007,7.81116338502528,-0.646687703067341,-0.307973374771763
"78064",2.4,2,14095,0,"Cosenza",751.2274983,-0.0417885214253157,0.363095354917459,-0.156360663182435,-0.434992723701006,1.72295984175691,0.00476604620137485,6.77878489768518,-0.646687703067341,-0.658499266066014
"19006",2.4,5,13965.3333333333,2.6,"Cremona",688.8089898,-0.775149835973125,-0.682477253987246,-0.141074009022185,-0.0892872509881962,-1.55435708818953,-0.610444466968093,7.3031700512368,0.69137234936312,1.52758530856142
"19007",0.8,0,13968,0,"Cremona",668.127539,-0.0417885214253157,-0.159690949534894,-0.161110129431646,-0.355082809725263,-0.327845415167163,-0.566598728835747,6.43133108193348,0.69137234936312,1.50267797935718
"19005",8,28,13995,20,"Cremona",658.6059661,-0.40846917869922,-1.2052635584396,-0.0663638003950664,0.227836750501733,-0.306720515528473,-0.522557250801026,8.47386806667786,0.69137234936312,1.81622654269357
"19020",1.4,8,14002,6.6,"Cremona",665.9221424,-1.50851115052093,-1.2052635584396,-0.134468937354678,0.0233564794464134,-0.163916193970925,-0.620231462086919,7.47363710849621,0.69137234936312,1.88263020803223
"19010",1.2,5,13987,3.8,"Cremona",653.4973831,-0.225128850062268,-0.682477253987246,-0.146773368521238,-0.29034259495106,-0.826393046640258,-0.511595816267939,7.17242457712485,0.69137234936312,2.02031640121784
"19011",0.4,2,13998.3333333333,1.6,"Cremona",657.8997559,-1.32517082188398,-1.72804986289195,-0.159342886176125,-0.247637088107964,-1.788843474179,-0.635107694667537,6.52649485957079,0.69137234936312,2.00407252604089
"19021",26.4,95,13965.6666666667,68.6,"Cremona",670.2220068,-0.591809507336173,-0.159690949534894,0.166912309333606,-0.115822858682398,-0.328267913159937,0.537178580665566,9.62317823441376,0.69137234936312,1.57198520240659
"19013",0.6,6,13979.3333333333,5.4,"Cremona",655.3718237,-0.225128850062268,-0.682477253987246,-0.162214656466346,-0.404153225324249,-1.17072891075091,-0.468533037745101,6.3578422665081,0.69137234936312,1.56620962900961
"19045",1.2,2,13985.6666666667,0.8,"Cremona",677.3801492,0.508232464485542,-0.159690949534894,-0.155057321281489,-0.383937062751968,-0.0498417359219967,-0.418423622736706,6.80128303447162,0.69137234936312,1.38500004239465
"19015",3.2,15,14006.6666666667,11.8,"Cremona",651.6990915,-0.40846917869922,-0.682477253987246,-0.122937675112408,-0.194490099996276,-0.885965263621366,-0.462660840673804,7.8046592970561,0.69137234936312,1.95979997379958
"19047",1.8,9,13987,7.2,"Cremona",651.5154549,-0.225128850062268,-0.159690949534894,-0.148319706369818,-0.374556399609357,-0.00928192861571101,-0.362442010657015,7.07157336421153,0.69137234936312,1.64223419728108
"19003",4.2,16,13979.3333333333,11.8,"Cremona",651.1809844,0.141551807211637,-0.159690949534894,-0.129299750832281,-0.306876203171719,-0.541629399510711,-0.350110396807293,7.6377164326648,0.69137234936312,1.5487516551756
"19009",2.4,3,13992,0.6,"Cremona",673.0233437,0.141551807211637,-0.159690949534894,-0.147899986096632,-0.331290174613957,0.351108859220348,-0.457767343114391,7.13886699994552,0.69137234936312,1.41315621204231
"19019",1.4,3,13988.6666666667,1.6,"Cremona",655.4331458,-1.14183049324703,-1.2052635584396,-0.162325109169816,-0.37473825414524,-0.295735567716354,-0.556420253912167,6.30627528694802,0.69137234936312,1.8080630116951
"19051",2.4,15,13964,12.6,"Cremona",646.8321356,0.141551807211637,-0.159690949534894,-0.135661826552154,-0.343322883071522,0.0557827622714556,-0.289626766972942,7.53529670244409,0.69137234936312,1.52606925875676
"19048",1.4,6,13944,4.6,"Cremona",682.1089627,-1.32517082188398,-1.2052635584396,-0.144917763102941,-0.218782835081259,-0.82216806671252,-0.574819804735562,7.15695636461564,0.69137234936312,1.5481608160825
"19053",3.6,15,13994.8333333333,11.4,"Cremona",676.3655593,1.24159377903335,0.885881659369811,-0.148474340154676,-0.273581668560547,-0.519659503886473,-0.540565321819667,7.11558212618445,0.69137234936312,1.42200013712393
"19050",2,8,13980.6666666667,6,"Cremona",679.7952,-0.225128850062268,-0.682477253987246,-0.141427457673289,-0.289054458655225,0.229006939308718,-0.485953889056613,7.29233717617388,0.69137234936312,1.41542520739853
"19014",1.4,4,13969.6666666667,2.6,"Cremona",675.0607729,0.141551807211637,0.885881659369811,-0.16521897000073,-0.423808669744226,-0.287285607860878,-0.447980347995564,6.08449941307517,0.69137234936312,1.43689041914912
"19002",3.4,12,14002,8.6,"Cremona",645.8707525,-1.50851115052093,-1.2052635584396,-0.0877253532461674,0.000745898818344301,0.0224054208423247,-0.48947720729939,8.23137604557397,0.69137234936312,1.94595551062753
"19044",2,5,13975.6666666667,3,"Cremona",646.8098766,1.24159377903335,-0.159690949534894,-0.15114729557865,-0.336897356137004,0.339278915422682,-0.478515772766304,7.01750614294126,0.69137234936312,1.61151199123808
"19017",2,6,13995.3333333333,4,"Cremona",648.0820068,-1.14183049324703,-1.2052635584396,-0.133033052209568,-0.169666955848302,-0.125046378635735,-0.546046039086211,7.50988306115491,0.69137234936312,2.34519402868766
"19059",3.4,14,13980.3333333333,10.6,"Cremona",662.3343458,-0.775149835973125,-1.2052635584396,-0.118983468328182,-0.124066930975742,0.0409953325243723,-0.502983260563372,7.86557175768479,0.69137234936312,1.68770349935729
